sigma_C1,sigma_C2,sigma_F1,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_H1,temperature
0.7472727426723301,0.9065393511913097,0.498140264376077,0.5221251205965474,0.3819302509622779,0.2955515149636969,0.6474583462175061,0.9806263881883661,0.75
0.9642317444983205,0.8633319511411945,0.5216767371222627,0.48009213844782,0.7207624641429397,0.4256601002796056,0.031967166040070445,0.33183418030287015,1.0
0.8259019911463671,0.9473053791293655,0.4751928293577236,0.4941164904955614,0.45777645179303667,0.23964508646028174,0.5659530507491376,0.5483117502233223,0.75
0.9709017422706148,0.7181569559505812,0.5679134125616017,0.5704392293286727,0.6568984338957826,0.3069010703929949,0.34351369951513294,0.005659041454346739,0.25
0.7179300036213642,0.9773841372891686,0.4511574058451955,0.7223853937190041,0.4646720058725087,0.6067984782038969,0.17384401590568205,0.9057754855308682,0.25
0.9408634132146281,0.7206733425743702,0.597587666665723,0.15323879264111145,0.5963064688308924,0.5248498011229571,0.052745654106333105,0.885319206745691,0.0
0.9642317444983205,0.8633319511411945,0.5216767371222627,0.48009213844782,0.7207624641429397,0.4256601002796056,0.031967166040070445,0.33183418030287015,0.0
0.9770302433692306,0.6907538840611601,0.5912771795508006,0.3147152675127,0.3157707499449482,0.9074397410841166,0.17190926121766995,0.5542150753498833,1.0
0.9078004630966582,0.9615600771027581,0.5097178763443937,0.40909223929596544,0.9211084500767766,0.3039307315097802,0.04823605564296302,0.4040512761910245,1.0
0.800363999161073,0.7149524469803347,0.5869362587266967,0.48557033964884333,0.5843995783898561,0.5762767412877025,0.4190541554915601,0.1128287304196462,0.25
0.7697441262767767,0.5923977090900592,0.6657827060534226,0.11281930603806871,0.5879899453255655,0.9042568842910956,0.23718026376699264,0.4444950063971489,0.5
0.9742896966327085,0.7993280629478607,0.5081940812365817,0.28489962856740403,0.45192323265925793,0.19736327303967421,0.4770717860436533,0.2269930693916034,0.25
0.8494737093247836,0.7951763692156881,0.596355335173283,0.2897122515568827,0.8702213718388646,0.3852379128754022,0.17166441596016868,0.449485740909696,0.75
0.9866364457021075,0.5619497095165775,0.4630922528178265,0.8600879329275315,0.9129346271459758,0.5594385162357052,0.023046844322816323,0.4245711779287958,1.0
0.9555506527659556,0.7153697543256636,0.4604747468609301,0.8079398099368328,0.7334321828652381,0.39052515707267826,0.05643555601482764,0.9551098973583348,0.0
0.5951979010248717,0.6885328954222233,0.48979176883638165,0.6714186544736128,0.5541091462934701,0.4550501218607848,0.6476489825252828,0.9718748898917858,0.75
0.8532930532878201,0.8798420012814897,0.4753827098661455,0.6057986935035087,0.30694653752817425,0.6103331603688565,0.3706196872982322,0.40639599782125746,1.0
0.7005174118965093,0.7676168852520756,0.5769156827852461,0.4855334860336721,0.7790275842956639,0.741445607167045,0.10392882971426186,0.9805793550907164,1.0
0.7135871258716427,0.7863852323600405,0.3778741049579211,0.9790304522463754,0.44231856819991194,0.5730391526403569,0.6327229378698288,0.6880008926879584,0.75
0.8494737093247836,0.7951763692156881,0.596355335173283,0.2897122515568827,0.8702213718388646,0.3852379128754022,0.17166441596016868,0.449485740909696,1.0
0.9923215512779051,0.6926398202226621,0.388097359523877,0.9581863784904134,0.5549721846229211,0.8607300762344868,0.008552859920163755,0.49047247105058,0.25
0.9555600403274702,0.6704532951183436,0.6568960650497057,0.039565969592138726,0.5672049805687792,0.6154630041206419,0.10690535744683465,0.9027724553753851,0.0
0.5270319318102586,0.9178066784861346,0.4131172523536052,0.939697222366434,0.8651772806289443,0.9143733491077044,0.14357539250606108,0.4633465944405625,0.0
0.5270319318102586,0.9178066784861346,0.4131172523536052,0.939697222366434,0.8651772806289443,0.9143733491077044,0.14357539250606108,0.4633465944405625,0.5
0.5868058471791225,0.7929223041901486,0.451970739802282,0.9320348212429413,0.8454517256481787,0.7300953475495238,0.6516675234140288,0.011261414613829379,0.0
0.9961093180953031,0.953110583831661,0.3992757112090305,0.01809921591055197,0.403683117270733,0.8137302352662461,0.012439183615570313,0.30721902373918286,0.5
0.5916441915674491,0.6368322238032197,0.4256087231430571,0.9788234140933788,0.8990208610650032,0.6513165794519167,0.7018970619868967,0.5307746865693045,1.0
0.9883163363606292,0.5017559909663976,0.6300957073181112,0.3231191274194554,0.49916809418051455,0.5095597700092712,0.26070963747882153,0.4341332019603349,0.25
0.9923215512779051,0.6926398202226621,0.388097359523877,0.9581863784904134,0.5549721846229211,0.8607300762344868,0.008552859920163755,0.49047247105058,1.0
0.6415965840394376,0.6652164442274932,0.5872623420255706,0.5078018406018586,0.5808396247184436,0.668676129937131,0.6628993055217439,0.1470255040472416,0.0
0.9821908676654381,0.5971603369739252,0.4130488765267847,0.8766149674619808,0.45219916871430804,0.6672333105910656,0.4981188329409404,0.13210996702736308,0.75
0.9770302433692306,0.6907538840611601,0.5912771795508006,0.3147152675127,0.3157707499449482,0.9074397410841166,0.17190926121766995,0.5542150753498833,0.25
0.8873495227183672,0.8878188694862923,0.2628335250109211,0.9820524225490481,0.45262347966672584,0.272691950747029,0.37386733758220086,0.9369763132803344,0.25
0.5916441915674491,0.6368322238032197,0.4256087231430571,0.9788234140933788,0.8990208610650032,0.6513165794519167,0.7018970619868967,0.5307746865693045,0.25
0.6813394248803766,0.7688180457383267,0.41988481106907105,0.9027500644983154,0.4417245880959868,0.7767022079512907,0.4049114779534498,0.7310450543604632,0.25
0.9440512257578125,0.9822090260941115,0.1999608454976776,0.9540524343102902,0.49916121929806173,0.3297285403993383,0.0666108742799783,0.9155110968372402,0.75
0.5611706885141076,0.9201564269639866,0.5329881479181222,0.3893607936235407,0.6808660078804808,0.5593618761953808,0.46371955598591935,0.6731174160199049,1.0
0.8187091132572712,0.6118686663629882,0.6646485987714555,0.08063111964441003,0.6151328993659319,0.31793531812083525,0.47080648614447485,0.22457186812111676,0.5
0.7227747658417065,0.9070637705772341,0.4133036706670472,0.8427711445700486,0.6839924984224153,0.2121008620329174,0.6717903110723449,0.47740854413704226,1.0
0.9754704671781327,0.6951322081518038,0.5272479623850331,0.38810066527541875,0.519647402537837,0.4666678639847097,0.12915442165485674,0.44813664675946335,0.5
0.8121051641938836,0.7244443039627543,0.5387045420085581,0.5492782670833228,0.7048666109880354,0.17857728135434317,0.5534109064466477,0.2622081163864469,0.0
0.7773660814390267,0.6363057882902622,0.6562815392728402,0.27356366095603807,0.8177151543171498,0.8618032099322467,0.06635116601209745,0.9076764887734541,1.0
0.6592232972252651,0.7427411827004767,0.5718101461025031,0.450203316962946,0.8196502467593162,0.6966387405481848,0.34714127552047996,0.2847546217894452,1.0
0.5270319318102586,0.9178066784861346,0.4131172523536052,0.939697222366434,0.8651772806289443,0.9143733491077044,0.14357539250606108,0.4633465944405625,0.75
0.9883163363606292,0.5017559909663976,0.6300957073181112,0.3231191274194554,0.49916809418051455,0.5095597700092712,0.26070963747882153,0.4341332019603349,0.75
0.9811892723165865,0.9931545056341317,0.2970235136282655,0.8831445124766834,0.273719933715325,0.8552721484390527,0.05933467558944739,0.2941942578392362,0.75
0.6632081560340616,0.7943296777149896,0.49673984460798504,0.9067367708747792,0.5309371441526147,0.8340141116472617,0.33248513747151737,0.8851394277037163,0.0
0.6813394248803766,0.7688180457383267,0.41988481106907105,0.9027500644983154,0.4417245880959868,0.7767022079512907,0.4049114779534498,0.7310450543604632,0.75
0.8512686139746721,0.8503893845374502,0.5678433770021967,0.3717972091955307,0.3790221181152559,0.6722844263264102,0.3136865756714968,0.46150759381565143,0.25
0.949339812710782,0.6420246903341011,0.6379465927042551,0.014800697683416039,0.4273759539049582,0.7751386951086753,0.26505475267565676,0.10767249974899695,0.5
0.9107243814830687,0.6868949988962616,0.3421639035959197,0.994440678327422,0.44366216398641223,0.6069998441569253,0.5870300783058022,0.34779539952942573,0.5
0.9866364457021075,0.5619497095165775,0.4630922528178265,0.8600879329275315,0.9129346271459758,0.5594385162357052,0.023046844322816323,0.4245711779287958,0.75
0.6592232972252651,0.7427411827004767,0.5718101461025031,0.450203316962946,0.8196502467593162,0.6966387405481848,0.34714127552047996,0.2847546217894452,0.5
0.9549351824879917,0.6049361409934977,0.5925032364708442,0.4383858150569827,0.6709691519183282,0.5562466545512182,0.14986301442956693,0.3165705443239677,0.25
0.8259019911463671,0.9473053791293655,0.4751928293577236,0.4941164904955614,0.45777645179303667,0.23964508646028174,0.5659530507491376,0.5483117502233223,0.5
0.8041136623907862,0.5141846339842525,0.6441534102603066,0.0835403770325821,0.559430511177897,0.623143845359319,0.3803643478341917,0.24917223997094243,0.0
0.7472727426723301,0.9065393511913097,0.498140264376077,0.5221251205965474,0.3819302509622779,0.2955515149636969,0.6474583462175061,0.9806263881883661,0.5
0.6887770165351478,0.8594861450644272,0.37674556473356813,0.9674938240276834,0.7832251849237056,0.5366010188414188,0.3194710876471921,0.43521938403564764,0.5
0.995602856662909,0.7547065878044842,0.6077123132644107,0.2547050105285187,0.827877835785557,0.50919481564856,0.02613646557723493,0.1515836219688688,0.25
0.8268220930455127,0.9683005876493608,0.4937278720627976,0.3119759440155053,0.7034472646111078,0.878589527973401,0.04631461680291256,0.044835002015278055,0.75
0.9642317444983205,0.8633319511411945,0.5216767371222627,0.48009213844782,0.7207624641429397,0.4256601002796056,0.031967166040070445,0.33183418030287015,0.5
0.824229892904564,0.9801991659279695,0.37688526007091955,0.890568652210184,0.9090846195290456,0.28280487267582766,0.15765519599681965,0.5792852736891051,0.25
0.7135871258716427,0.7863852323600405,0.3778741049579211,0.9790304522463754,0.44231856819991194,0.5730391526403569,0.6327229378698288,0.6880008926879584,0.0
0.9223061262768222,0.5139225176488851,0.442739722045092,0.9187567950514796,0.788418726083944,0.4972062784833523,0.4096873374018721,0.47526988115087626,1.0
0.9223061262768222,0.5139225176488851,0.442739722045092,0.9187567950514796,0.788418726083944,0.4972062784833523,0.4096873374018721,0.47526988115087626,0.75
0.7005174118965093,0.7676168852520756,0.5769156827852461,0.4855334860336721,0.7790275842956639,0.741445607167045,0.10392882971426186,0.9805793550907164,0.0
0.9744442918093817,0.7692899002618716,0.3495945554768025,0.9844126791139961,0.8225480836993476,0.4611369272824224,0.17475827314600273,0.05707654305460062,0.0
0.7227747658417065,0.9070637705772341,0.4133036706670472,0.8427711445700486,0.6839924984224153,0.2121008620329174,0.6717903110723449,0.47740854413704226,0.0
0.6958759383124887,0.9595380011746176,0.4854259872157087,0.23133959364600665,0.5155373411177612,0.34468609261968036,0.6514388966244137,0.6760445056278123,0.0
0.5941769284561562,0.9763377749266671,0.5060992170759101,0.40797776911236205,0.7076796397394269,0.7523330244842767,0.2867521917823729,0.5264255052219076,0.25
0.9941825345989282,0.5503941650777127,0.5981916456387756,0.33136635579410734,0.8592885679885102,0.19461531730277157,0.0758505338302633,0.7101676685571185,0.25
0.7017268765612366,0.6945197453792566,0.49896473411490605,0.7781489902346793,0.33523592909796823,0.8945266272440531,0.4736231032321856,0.797245958917728,0.0
0.9642317444983205,0.8633319511411945,0.5216767371222627,0.48009213844782,0.7207624641429397,0.4256601002796056,0.031967166040070445,0.33183418030287015,0.25
0.9941825345989282,0.5503941650777127,0.5981916456387756,0.33136635579410734,0.8592885679885102,0.19461531730277157,0.0758505338302633,0.7101676685571185,1.0
0.8041136623907862,0.5141846339842525,0.6441534102603066,0.0835403770325821,0.559430511177897,0.623143845359319,0.3803643478341917,0.24917223997094243,1.0
0.5676550865883853,0.8747376101562506,0.4278365743891612,0.8316265962896121,0.6149409539237515,0.6029400335522012,0.7116018482075771,0.20685492099525904,0.5
0.9770302433692306,0.6907538840611601,0.5912771795508006,0.3147152675127,0.3157707499449482,0.9074397410841166,0.17190926121766995,0.5542150753498833,0.75
0.8121051641938836,0.7244443039627543,0.5387045420085581,0.5492782670833228,0.7048666109880354,0.17857728135434317,0.5534109064466477,0.2622081163864469,0.5
0.5270319318102586,0.9178066784861346,0.4131172523536052,0.939697222366434,0.8651772806289443,0.9143733491077044,0.14357539250606108,0.4633465944405625,1.0
